ENSG00000251562,ENSG00000167996,ENSG00000087086,ENSG00000198804,target_type
4.472126,6.1644554,4.828669,4.4039483,inflammatory macrophage
3.5176013,6.136609,4.8534374,5.146243,alternatively activated macrophage
4.5805993,6.405508,3.8976486,4.5805993,conventional dendritic cell
4.6697845,5.997854,3.4874492,4.565465,conventional dendritic cell
5.036242,6.154476,5.096484,4.777889,classical monocyte
4.831537,6.177057,4.6371484,5.0057015,classical monocyte
4.3077965,5.8662095,2.8497639,4.231912,conventional dendritic cell
4.7069,6.0965953,3.6907337,4.3901353,conventional dendritic cell
5.509997,6.077592,7.2698364,5.2461166,inflammatory macrophage
4.483604,6.0199394,4.9872146,4.820667,classical monocyte
3.9893386,5.765551,3.3666863,4.9990716,conventional dendritic cell
4.1259413,5.9332733,3.285575,4.8750114,conventional dendritic cell
5.084103,6.3819427,6.2145686,5.2751794,macrophage
3.6394625,6.609925,2.9722426,5.3224854,alternatively activated macrophage
5.403384,6.5232873,5.606799,5.5617867,macrophage
5.318898,6.275099,6.2738643,5.096978,macrophage
4.56703,4.577729,3.9052868,4.752992,classical monocyte
4.9764323,5.7245216,5.1633015,4.8487616,alternatively activated macrophage
4.9601293,5.1970515,5.1022944,4.9976096,alternatively activated macrophage
5.3506064,5.605349,6.2559104,5.328325,inflammatory macrophage
4.7653356,5.980697,6.093329,5.0542364,macrophage
4.0609393,6.6301317,4.5141025,4.659211,inflammatory macrophage
3.154269,6.6508427,5.021516,5.1956596,non-classical monocyte
4.978094,5.902187,6.491396,5.207022,macrophage
4.4892554,4.3005614,4.6839585,4.986905,classical monocyte
4.7770243,5.803339,4.077478,4.5815005,classical monocyte
4.5599804,5.9299088,3.675639,4.4905367,conventional dendritic cell
4.9829326,5.313928,4.8796935,4.9581046,non-classical monocyte
4.908297,6.729558,5.1896005,5.1478753,non-classical monocyte
4.1485825,5.471883,4.6126485,5.055356,alternatively activated macrophage
4.4744434,5.494615,3.901479,4.805568,conventional dendritic cell
4.858958,5.9132676,4.737367,4.8000093,classical monocyte
4.8718843,5.9653773,3.9908545,4.9500847,classical monocyte
5.022364,6.04021,5.0832167,4.4984174,classical monocyte
5.318447,5.7878823,5.32855,4.9696436,inflammatory macrophage
4.4277086,5.7375965,3.529172,4.873953,conventional dendritic cell
4.150182,5.723476,3.6941154,4.6171317,conventional dendritic cell
4.7843533,5.9180865,5.0822883,5.0254946,alternatively activated macrophage
4.5755525,6.4093776,5.692895,5.130744,macrophage
4.8714337,5.455809,5.013512,5.194725,classical monocyte
4.912131,6.269069,5.1597223,4.873953,non-classical monocyte
4.6854773,6.0285444,4.7927437,4.516238,inflammatory macrophage
5.0659914,5.4223027,5.8082647,5.2848067,alternatively activated macrophage
4.3318267,5.412111,3.158061,4.5119553,conventional dendritic cell
4.9454556,4.96728,4.637885,4.988638,classical monocyte
4.2666316,5.648262,4.683011,4.8533993,conventional dendritic cell
4.2263846,5.992773,3.48891,4.539082,macrophage
5.872372,6.225905,5.8092937,5.1471467,macrophage
5.458527,4.5241776,4.584164,4.9051228,classical monocyte
4.099628,6.670271,3.3676822,5.1962914,conventional dendritic cell
5.1548567,5.0648894,6.6650486,5.033007,macrophage
5.925704,5.9681525,5.9681525,5.1910133,macrophage
4.7360744,6.32507,6.018014,5.060528,macrophage
5.0732756,6.1176877,5.576266,4.9105625,macrophage
4.4415298,5.7723174,2.8472104,4.625429,conventional dendritic cell
4.841035,4.9686985,5.360337,4.683331,inflammatory macrophage
5.1754937,4.958868,5.2543125,4.8226986,classical monocyte
4.7120914,6.3772883,4.1563272,4.479628,conventional dendritic cell
4.69244,6.4670696,3.3864143,5.023609,conventional dendritic cell
4.712605,6.220485,4.712605,4.9532304,classical monocyte
4.6148205,5.4692917,2.9536757,4.829951,conventional dendritic cell
5.313079,5.4216824,5.3155694,4.171017,inflammatory macrophage
4.4958024,5.476165,4.931775,4.8438897,classical monocyte
5.4779344,6.798501,4.184151,5.3897676,myeloid dendritic cell
4.628557,6.2684593,5.3997965,4.7874513,alternatively activated macrophage
4.585378,5.4548793,4.9874377,4.845386,alternatively activated macrophage
4.2901053,7.234275,1.9279557,5.0729017,myeloid dendritic cell
4.2498584,5.406916,4.6605115,4.4879584,classical monocyte
4.9310474,5.6725802,4.857495,5.015978,classical monocyte
4.495141,4.91116,4.253114,5.0437703,classical monocyte
5.032084,5.612343,4.9753094,5.01819,classical monocyte
4.2359595,5.265461,5.780334,5.099346,alternatively activated macrophage
5.645912,5.4509306,5.490504,4.999476,alternatively activated macrophage
5.655233,5.840967,5.643154,4.8649697,macrophage
6.0409284,5.856188,3.5088058,4.6076727,myeloid dendritic cell
4.526697,5.9698133,5.002141,5.025515,alternatively activated macrophage
5.1075163,5.918893,5.6791553,5.4878006,classical monocyte
4.396742,5.740708,3.279652,4.1908426,conventional dendritic cell
4.7085395,4.768634,4.576296,5.1314907,classical monocyte
4.457923,6.17733,3.8793628,4.6435375,conventional dendritic cell
3.227508,6.429785,3.0289786,4.1440134,conventional dendritic cell
4.7980375,5.7704153,4.9876575,4.744428,conventional dendritic cell
4.05576,5.548625,3.439617,4.6169114,conventional dendritic cell
6.328395,5.627616,5.2207956,5.1316895,classical monocyte
4.9642415,5.577796,4.7170005,5.0071187,conventional dendritic cell
5.304326,6.3824067,4.450879,5.1229978,non-classical monocyte
4.9131985,6.7415943,5.7006717,5.0998316,macrophage
5.5290956,6.202434,5.221982,4.822195,macrophage
4.9745116,5.44192,4.288253,5.1025085,classical monocyte
5.0842943,5.5286446,6.3483443,5.0544057,macrophage
4.22516,5.9519033,3.137814,3.9363797,conventional dendritic cell
4.536151,5.4819155,4.7200503,4.9842324,classical monocyte
5.2329917,5.790317,5.904963,5.3947096,macrophage
5.551893,4.751453,6.63678,5.092036,macrophage
4.3891115,5.4900656,5.3170023,5.210787,inflammatory macrophage
4.602333,6.304014,3.831412,4.9154663,conventional dendritic cell
5.01009,5.6998963,4.8476458,4.6535964,classical monocyte
4.5928726,5.971545,4.4735417,5.121978,classical monocyte
4.981088,6.527206,4.981088,4.9003243,non-classical monocyte
5.0574718,5.0919404,5.642427,4.9331565,classical monocyte
4.634676,5.9268727,3.7856514,5.193274,conventional dendritic cell
5.466845,5.9857526,5.2097178,4.7246523,macrophage
4.648136,6.3171964,5.4459815,5.145831,alternatively activated macrophage
4.416019,5.995591,4.8174486,4.94166,alternatively activated macrophage
5.667146,5.7883816,6.982363,4.8107953,macrophage
5.116712,6.0744133,4.5804343,4.9887033,classical monocyte
4.2322145,6.0278897,4.157374,4.5041246,conventional dendritic cell
